fylke;fylke_nr;fylke_navn;innvkat_3.alle;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.befolkningen_ellers
Nedbrytninger;;;vreg_3.alle;vreg_3.1;vreg_3.2;vreg_3.alle;vreg_3.alle
;;;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent
00 Hele landet;0;Hele landet;8,6;19;30,5;25,3;6,7
01 Østfold;1;Østfold;9,9;21;37,2;30,4;7,5
02 Akershus;2;Akershus;6,4;16,8;22,8;19,8;4,5
03 Oslo;3;Oslo;13,7;19,6;31;27,2;10
04 Hedmark;4;Hedmark;9,5;23,4;40,2;31,6;8
05 Oppland;5;Oppland;9,3;24,6;40,1;32,3;7,7
06 Buskerud;6;Buskerud;8,6;19,5;30,3;25,2;6,3
07 Vestfold;7;Vestfold;9;22,1;35,7;28,7;7
08 Telemark;8;Telemark;9,5;23,5;39,9;32,8;7,5
09 Aust-Agder;9;Aust-Agder;8,9;23,9;36,3;29,7;7
10 Vest-Agder;10;Vest-Agder;8,8;18,5;32,5;26,5;7
11 Rogaland;11;Rogaland;6,1;13,9;22,8;18,1;4,6
12 Hordaland;12;Hordaland;7,7;18,9;29,6;24;6,1
14 Sogn og Fjordane;14;Sogn og Fjordane;6,9;18;28,4;21,7;5,8
15 Møre og Romsdal;15;Møte og Romsdal;6,9;19,7;26,5;22,3;5,7
16 Sør-Trøndelag;16;Sør-Trøndelag;8,8;19,3;31,9;26,1;7,5
17 Nord-Trøndelag;17;Nord-Trøndelag;7,7;22,6;43,6;33,4;6,5
18 Nordland;18;Nordland;7,3;20,2;33,6;27,2;6,2
19 Troms Romsa;19;Troms Romsa;7,5;18,3;31,9;25;6,3
20 Finnmark Finnmárku;20;Finnmark Finnmárku;7,1;15,9;23,8;19,9;5,9
99 Uoppgitt fylke;99;Uoppgitt fylke;.;.;.;.;.
