bydel;bydel_nr;"Bydel
navn";spraak.alle;spraak.minoritet;spraak.minoritet;spraak.minoritet;spraak.minoritet;spraak.minoritet;spraak.minoritet;spraak.ikke_minoritet;barnikommune.alle;barnikommune.innvandrerbakgr;barnikommune.innvandrerbakgr;barnikommune.innvandrerbakgr;barnikommune.innvandrerbakgr;barnikommune.innvandrerbakgr;barnikommune.innvandrerbakgr;barnikommune.barn_ellers;spraak.alle;spraak.minoritet;spraak.ikke_minoritet
Nedbrytninger;;;bhgalder.1-5;bhgalder.1-5;bhgalder.1;bhgalder.2;bhgalder.3;bhgalder.4;bhgalder.5;bhgalder.1-5;bhgalder.1-5;bhgalder.1-5;bhgalder.1;bhgalder.2;bhgalder.3;bhgalder.4;bhgalder.5;bhgalder.1-5;bhgalder.1-5;bhgalder.1-5;bhgalder.1-5
;;;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;Prosent
0301 Oslo;301;Oslo;36005;9648;807;1 793;2 148;2 453;2 447;26357;42353;12456;2 485;2 551;2 533;2 482;2 405;29897;85;77,5;88,2
030101 Gamle Oslo;30101;Gamle Oslo;2805;946;76;188;201;261;220;1859;3540;1325;287;269;271;272;226;2215;79,2;71,4;83,9
030102 Grünerløkka;30102;Grünerløkka;2665;706;62;154;154;168;168;1959;3112;1029;228;229;202;190;180;2083;85,6;68,6;94
030103 Sagene;30103;Sagene;2141;423;43;86;104;92;98;1718;2365;613;126;135;125;118;109;1752;90,5;69;98,1
030104 St. Hanshaugen;30104;St. Hanshaugen;1995;352;49;84;81;71;67;1643;1640;358;81;78;75;63;61;1282;121,6;98,3;128,2
030105 Frogner;30105;Frogner;2386;430;49;77;105;85;114;1956;2244;503;115;102;102;82;102;1741;106,3;85,5;112,3
030106 Ullern;30106;Ullern;2153;188;20;44;42;49;33;1965;2157;240;48;62;44;46;40;1917;99,8;78,3;102,5
030107 Vestre Aker;30107;Veste Aker;2894;204;27;44;50;45;38;2690;3399;317;72;67;70;50;58;3082;85,1;64,4;87,3
030108 Nordre Aker;30108;Nordre Aker;3748;406;67;97;80;86;76;3342;3448;381;65;90;79;80;67;3067;108,7;106,6;109
030109 Bjerke;30109;Bjerke;1961;726;59;125;178;169;195;1235;2605;1044;205;207;230;206;196;1561;75,3;69,5;79,1
030110 Grorud;30110;Grorud;1346;753;69;122;176;182;204;593;1933;994;195;188;216;194;201;939;69,6;75,8;63,2
030111 Stovner;30111;Stovner;1336;929;48;133;214;254;280;407;2118;1236;234;235;257;242;268;882;63,1;75,2;46,1
030112 Alna;30112;Alna;2543;1512;94;269;309;428;412;1031;3467;1855;354;367;374;392;368;1612;73,3;81,5;64
030113 Østensjø;30113;Østensjø;2912;677;65;122;144;184;162;2235;3738;858;167;160;163;195;173;2880;77,9;78,9;77,6
030114 Nordstrand;30114;Nordstrand;3003;288;28;62;58;67;73;2715;3430;387;76;81;64;84;82;3043;87,6;74,4;89,2
030115 Søndre Nordstrand;30115;Søndre Nordstrand;2117;1108;51;186;252;312;307;1009;2911;1316;232;281;261;268;274;1595;72,7;84,2;63,3
030116 Sentrum;30116;Sentrum;:;:;:;:;:;:;:;:;12;:;:;:;:;:;:;:;:;:;:
030117 Marka;30117;Marka;:;:;:;:;:;:;:;:;92;:;:;:;:;:;:;:;:;:;:
030199 Uoppgitt bydel Oslo;30199;Uoppgitt bydel Oslo;:;:;:;:;:;:;:;:;142;:;:;:;:;:;:;:;:;:;:
