fylke;fylke_nr;fylke_navn;bosetting.anmodning;bosetting.anmodning;bosetting.bosatt;bosetting.bosatt;bosetting.vedtak;bosetting.vedtak;;;;;;;;
Nedbrytninger;;;enhet.personer;enhet.prosent;enhet.personer;enhet.prosent;enhet.personer;enhet.prosent;;;;;;;;
00 Hele landet;0;Hele landet;9824;100;6511;66,28;6529;66,46;;;;;;;;
01 Østfold;1;Østfold;405;100;194;47,9;193;47,65;;;;;;;;
02 Akershus;2;Akershus;696;100;516;74,14;521;74,86;;;;;;;;
03 Oslo;3;Oslo;490;100;468;95,51;450;91,84;;;;;;;;
04 Hedmark;4;Hedmark;368;100;252;68,48;257;69,84;;;;;;;;
05 Oppland;5;Oppland;430;100;322;74,88;331;76,98;;;;;;;;
06 Buskerud;6;Buskerud;515;100;366;71,07;390;75,73;;;;;;;;
07 Vestfold;7;Vestfold;340;100;192;56,47;226;66,47;;;;;;;;
08 Telemark;8;Telemark;455;100;328;72,09;347;76,26;;;;;;;;
09 Aust-Agder;9;Aust-Agder;345;100;189;54,78;196;56,81;;;;;;;;
10 Vest-Agder;10;Vest-Agder;525;100;350;66,67;357;68,00;;;;;;;;
11 Rogaland;11;Rogaland;945;100;450;47,62;483;51,11;;;;;;;;
12 Hordaland;12;Hordaland;1040;100;550;52,88;542;52,12;;;;;;;;
14 Sogn og Fjordane;14;Sogn og Fjordane;440;100;184;41,82;192;43,64;;;;;;;;
15 Møre og Romsdal;15;Møte og Romsdal;585;100;373;63,76;362;61,88;;;;;;;;
16 Sør-Trøndelag;16;Sør-Trøndelag;565;100;361;63,89;369;65,31;;;;;;;;
17 Nord-Trøndelag;17;Nord-Trøndelag;350;100;289;82,57;265;75,71;;;;;;;;
18 Nordland;18;Nordland;745;100;565;75,84;589;79,06;;;;;;;;
19 Troms Romsa;19;Troms Romsa;350;100;339;96,86;254;72,57;;;;;;;;
20 Finnmark Finnmárku;20;Finnmark Finnmárku;235;100;223;94,89;205;87,23;;;;;;;;
99 Uoppgitt fylke;99;Uoppgitt fylke;.;.;.;.;.;.;;;;;;;;
