Fylke nr & navn;fylke_nr;"Fylke
navn";spraak.alle;spraak.minoritet;spraak.minoritet;spraak.minoritet;spraak.minoritet;spraak.minoritet;spraak.minoritet;spraak.ikke_minoritet;barnikommune.alle;barnikommune.innvandrerbakgr;barnikommune.innvandrerbakgr;barnikommune.innvandrerbakgr;barnikommune.innvandrerbakgr;barnikommune.innvandrerbakgr;barnikommune.innvandrerbakgr;barnikommune.barn_ellers;spraak.alle;spraak.minoritet;spraak.ikke_minoritet
Nedbrytninger;;;bhgalder.1_5;bhgalder.1_5;bhgalder.1;bhgalder.2;bhgalder.3;bhgalder.4;bhgalder.5;bhgalder.1_5;bhgalder.1_5;bhgalder.1_5;bhgalder.1;bhgalder.2;bhgalder.3;bhgalder.4;bhgalder.5;bhgalder.1_5;bhgalder.1_5;bhgalder.1_5;bhgalder.1_5
;;;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;Prosent
00 Hele landet;00;Hele landet;284783;37642;4 016;7 185;8 660;9 099;8 702;247141;316409;49 029;10 166;9 938;10 065;9 731;9 129;267 380;90;76,8;92,4
01 Østfold;01;Østfold;14273;1935;124;317;446;552;496;12338;16314;2 867;571;552;581;623;540;13 447;87,5;67,5;91,8
02 Akershus;02;Akershus;34894;4641;486;889;1 065;1 170;1 031;30253;38211;5 874;1 199;1 163;1 212;1 215;1 085;32 337;91,3;79;93,6
03 Oslo;03;Oslo;36005;9648;807;1 793;2 148;2 453;2 447;26357;42353;12 529;2 495;2 564;2 550;2 501;2 419;29 824;85;77;88,4
04 Hedmark;04;Hedmark;9164;815;102;149;179;204;181;8349;10018;1 062;229;202;216;212;203;8 956;91,5;76,7;93,2
05 Oppland;05;Oppland;8852;831;103;164;187;191;186;8021;9703;1 092;234;235;212;212;199;8 611;91,2;76,1;93,1
06 Buskerud;06;Buskerud;14567;2568;280;486;608;570;624;11999;16256;3 169;646;624;671;599;629;13 087;89,6;81;91,7
07 Vestfold;07;Vestfold;12285;1338;123;254;315;323;323;10947;13759;1 881;390;368;379;391;353;11 878;89,3;71,1;92,2
08 Telemark;08;Telemark;8365;1038;121;189;252;234;242;7327;9289;1 327;289;257;286;257;238;7 962;90,1;78,2;92
09 Aust-Agder;09;Aust-Agder;6423;671;63;124;148;158;178;5752;7115;847;170;155;170;174;178;6 268;90,3;79,2;91,8
10 Vest-Agder;10;Vest-Agder;10385;1145;96;194;264;305;286;9240;11837;1 585;338;290;318;336;303;10 252;87,7;72,2;90,1
11 Rogaland;11;Rogaland;29271;3820;476;770;947;829;798;25451;32974;5 122;1 100;1 074;1 113;925;910;27 852;88,8;74,6;91,4
12 Hordaland;12;Hordaland;29640;3047;374;575;691;746;661;26593;32648;4 113;885;872;803;816;737;28 535;90,8;74,1;93,2
14 Sogn og Fjordane;14;Sogn og Fjordane;5928;558;77;101;122;139;119;5370;6453;707;167;130;133;154;123;5 746;91,9;78,9;93,5
15 Møre og Romsdal;15;Møte og Romsdal;14396;1324;170;274;301;320;259;13072;15544;1 752;374;362;360;360;296;4 701;92,6;75,6;278,1
16 Sør-Trøndelag;16;Sør-Trøndelag;17641;1617;212;364;372;353;316;16024;18803;1 959;401;445;396;382;335;13 585;93,8;82,5;118
17 Nord-Trøndelag;17;Nord-Trøndelag;7567;531;70;120;123;111;107;7036;8012;634;131;145;127;119;112;18 169;94,4;83,8;38,7
18 Nordland;18;Nordland;12355;1019;162;193;220;217;227;11336;13432;1 221;270;240;250;237;224;6 791;92;83,5;166,9
19 Troms Romsa;19;Troms Romsa;8898;717;106;145;177;146;143;8181;9445;840;175;168;192;142;163;12 592;94,2;85,4;65
20 Finnmark Finnmárku;20;Finnmark Finnmárku;3874;379;63;80;88;73;75;3495;4243;448;102;92;96;76;82;8 997;91,3;84,6;38,8
99 Uoppgitt fylke;99;Uoppgitt fylke;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
